"team_id","team_name"
1,admin
10,"team turtle"
12,Eagle1
13,MINESWEEPER
14,"GeezusTakeD@wheel"
15,"Big O"
16,Microtransaction
17,"Not_North_Korea"
18,"Q Till Death"
19,"A Filthy Linguist"
20,wacasey
21,Suminod
22,"DET HI 782D MI BN"
24,"Winter Storm"
25,HiAdmin
27,hunstad
3,testteam
36,"Simlcron-3"
4,CosmoDoge
48,"Team Rocket"
49,ShaolinHacktastic
5,huckfinn
50,BadCharacters
51,"third_sleep"
52,jbaker17
53,"Gordon_OIC"
54,amado
55,Shombo
56,GreenAcrossTheBoard
57,obscureverses
58,wpwhite
59,Sharpsten
6,CaryDrew
60,george2r
61,"704th MI BDE"
62,r0ger
63,"Simulacron-3"
64,sputnic35
65,aerocean
66,georgeTeam
67,x41farmer2
68,Niji
69,"Team Santos"
7,x41farmer
70,laxon
71,cav3man
72,CyberBullets
73,MrShepsNeighborhood
74,FIND0TH1N6S
75,wolf
76,buttstuff2k17
77,Revengeofbuttstuff
78,pyrodie18
8,Dignan
9,"Clicks of Death"
